,days,infected,exposed,susceptible,recovered,total
0,0.0,100.0,0.0,4900.0,0.0,5000.0
1,0.01,99.96,0.24500000000000005,4899.755,0.04,5000.0
2,0.02,99.92050599999999,0.48939975490000004,4899.5101102451,0.079984,5000.0
3,0.03,99.8815165971098,0.7332017200741031,4899.265329480416,0.11995220239999999,5000.0
4,0.04,99.84303039391109,0.9764083422940263,4899.020656454756,0.1599048090388439,5000.000000000001
5,0.05,99.80504599843812,1.2190220597608434,4898.776089920605,0.19984202119640834,5000.0
6,0.06,99.76756202415827,1.4610453021366092,4898.531628634109,0.2397640395957836,5000.0
7,0.07,99.73057708995287,1.7024804905758633,4898.287271355066,0.2796710644054469,5000.0
8,0.08,99.69408982009804,1.9433300377570173,4898.043016846904,0.31956329524142807,5000.0
9,0.09,99.65809884424552,2.183596347913623,4897.798863876672,0.3594409311694673,5000.0
10,0.1,99.62260279740364,2.423281816865523,4897.5548112150245,0.3993041707071655,5000.000000000001
11,0.11,99.58760031991841,2.662388832049886,4897.3108576362065,0.439153211826127,5000.000000000001
12,0.12,99.55309005745454,2.900919772552122,4897.06700191804,0.47898825195409434,5000.000000000001
13,0.13,99.51907066097667,3.1388770091366855,4896.82324284191,0.5188094879770762,5000.0
14,0.14,99.48554078673055,3.3762629042777608,4896.57957919275,0.5586171162414668,5000.0
15,0.15,99.45249909622441,3.6130798121898313,4896.336009759029,0.5984113325561591,4999.999999999999
16,0.16,99.4199442562103,3.849330078858137,4896.092533332737,0.6381923321946489,5000.0
17,0.17,99.38787493866553,4.0850160420690145,4895.849148709368,0.677960309897133,5000.0
18,0.18,99.35628982077421,4.3201400314401255,4895.605854687913,0.7177154598725992,5000.0
19,0.19,99.32518758490878,4.554704368450571,4895.36265007084,0.7574579758009089,5000.000000000001
20,0.2,99.29456691861171,4.78871136647089,4895.119533664082,0.7971880508348724,5000.0
21,0.21,99.26442651457721,5.022163330792954,4894.876504277027,0.8369058776023172,5000.0
22,0.22,99.23476507063296,5.255062558659737,4894.633560722499,0.8766116482081481,5000.000000000001
23,0.23,99.20558128972203,5.487411339294984,4894.3907018167465,0.9163055542364013,5000.000000000001
24,0.24,99.17687387988474,5.719211953932764,4894.14792637943,0.9559877867522901,5000.0
25,0.25,99.14864155424065,5.950466675846915,4893.905233233608,0.9956585363042441,4999.999999999999
26,0.26,99.12088303097065,6.181177770380372,4893.662621205723,1.0353179929259404,5000.0
27,0.27,99.09359703329902,6.411347494974394,4893.420089125588,1.0749663461383288,5000.0
28,0.28,99.06678228947565,6.6409780991976755,4893.177635826374,1.1146037849516484,4999.999999999999
29,0.29,99.04043753275826,6.870071824775351,4892.935260144598,1.1542304978674387,4999.999999999999
30,0.3,99.01456150139471,7.098630905617892,4892.692960920106,1.193846672880542,4999.999999999999
31,0.31,98.98915293860539,7.326657567849889,4892.450736996063,1.2334524974810999,4999.999999999999
32,0.32,98.96421059256565,7.554154029838737,4892.208587218938,1.273048158656542,5000.0
33,0.33,98.9397332163883,7.781122502223206,4891.966510438494,1.3126338428935684,4999.999999999999
34,0.34,98.9157195681062,8.007565187941905,4891.724505507771,1.3522097361801237,4999.999999999999
35,0.35000000000000003,98.89216841065483,8.23348428226164,4891.482571283075,1.3917760240073662,4999.999999999999
36,0.36,98.8690785118551,8.458881972805672,4891.240706623967,1.4313328913716281,4999.999999999999
37,0.37,98.84644864439596,8.683760439581855,4890.998910393245,1.4708805227763702,4999.999999999999
38,0.38,98.82427758581737,8.908121855010682,4890.757181456936,1.5104191022341285,4999.999999999998
39,0.39,98.80256411849307,9.131968383953225,4890.515518684284,1.5499488132684553,4999.999999999998
40,0.4,98.78130702961357,9.355302183738964,4890.27392094773,1.5894698389158526,4999.999999999998
41,0.41000000000000003,98.76050511116921,9.57812540419351,4890.032387122908,1.628982361727698,4999.999999999999
42,0.42,98.74015715993313,9.800440187666242,4889.7909160886275,1.6684865637721655,4999.999999999999
43,0.43,98.7202619774445,10.022248669057811,4889.54950672686,1.7079826266361389,4999.999999999999
44,0.44,98.70081836999164,10.243552975847576,4889.308157922733,1.7474707314271167,4999.999999999999
45,0.45,98.68182514859534,10.464355228120906,4889.066868564508,1.7869510587751134,5000.0
46,0.46,98.66328112899214,10.6846575385964,4888.825637543576,1.8264237888345516,4999.999999999998
47,0.47000000000000003,98.64518513161774,10.904462012653001,4888.584463754442,1.8658891012861485,5000.0
48,0.48,98.6275359815904,11.123770748356998,4888.343346094713,1.9053471753387956,4999.999999999998
49,0.49,98.61033250869447,11.342585836488945,4888.102283465084,1.9447981897314317,4999.999999999998
50,0.5,98.59357354736397,11.560909360570468,4887.86127476933,1.9842423227349095,4999.999999999999
51,0.51,98.57725793666617,11.778743396890968,4887.620318914288,2.023679752153855,4999.999999999998
52,0.52,98.56138452028529,11.99609001453424,4887.3794148098505,2.0631106553285217,4999.999999999998
53,0.53,98.54595214650624,12.21295127540497,4887.138561368951,2.1025352091366356,4999.999999999998
54,0.54,98.53095966819845,12.429329234255166,4886.89775750755,2.141953589995238,4999.999999999998
55,0.55,98.51640594279968,12.645225938710448,4886.657002144626,2.1813659738625173,4999.999999999999
56,0.56,98.50228983229998,12.86064342929628,4886.416294202163,2.2207725362396373,4999.999999999998
57,0.5700000000000001,98.48861020322565,13.075583739464074,4886.175632605136,2.260173452172557,4999.999999999999
58,0.58,98.47536592662328,13.29004889561722,4885.935016281504,2.2995688962538474,4999.999999999999
59,0.59,98.46255587804387,13.504040917136997,4885.694444162194,2.338959042624497,4999.999999999998
60,0.6,98.45017893752693,13.717561816408407,4885.453915181088,2.3783440649757144,4999.999999999999
